time,protocol,node_id,candidate_parent,energy_ratio,distance_ratio,queue_ratio,link_quality,Q_value,state_value,selection_value,selected_parent,reward,updated_Q_value,decision_mode
0.00000,Traditional RPL,10,21,1.00000,0.49812,0.00000,0.50188,,0.50188,0.50188,1,,,traditional
0.00000,Traditional RPL,1,5,0.99536,0.47664,0.00000,0.52336,,0.52336,0.52336,25,,,traditional
0.00000,Traditional RPL,1,12,1.00000,0.37976,0.00000,0.62024,,0.62024,0.62024,25,,,traditional
0.00000,Traditional RPL,1,25,0.99600,0.19152,0.20000,0.70848,,0.80848,0.80848,25,,,traditional
0.00000,Traditional RPL,1,26,0.98239,0.31818,0.20000,0.58182,,0.68182,0.68182,25,,,traditional
0.00000,Traditional RPL,25,0,1.00000,0.00000,0.70000,0.65000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,25,8,0.99570,0.15648,0.00000,0.84352,,0.84352,0.84352,0,,,traditional
0.00000,Traditional RPL,25,18,0.99393,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,25,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,0,,,traditional
0.00000,Traditional RPL,11,3,0.99365,0.29520,0.00000,0.70480,,0.70480,0.70480,8,,,traditional
0.00000,Traditional RPL,11,8,0.99570,0.15648,0.00000,0.84352,,0.84352,0.84352,8,,,traditional
0.00000,Traditional RPL,11,15,1.00000,0.36265,0.00000,0.63735,,0.63735,0.63735,8,,,traditional
0.00000,Traditional RPL,11,19,1.00000,0.35008,0.00000,0.64992,,0.64992,0.64992,8,,,traditional
0.00000,Traditional RPL,11,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,8,,,traditional
0.00000,Traditional RPL,8,0,1.00000,0.00000,0.80000,0.60000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,8,18,0.99393,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,12,2,0.99262,0.35668,0.00000,0.64332,,0.64332,0.64332,26,,,traditional
0.00000,Traditional RPL,12,22,1.00000,0.34409,0.00000,0.65591,,0.65591,0.65591,26,,,traditional
0.00000,Traditional RPL,12,26,0.98239,0.31818,0.20000,0.58182,,0.68182,0.68182,26,,,traditional
0.00000,Traditional RPL,12,30,1.00000,0.35753,0.00000,0.64247,,0.64247,0.64247,26,,,traditional
0.00000,Traditional RPL,26,0,1.00000,0.00000,0.90000,0.55000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,26,6,0.99391,0.28141,0.00000,0.71859,,0.71859,0.71859,0,,,traditional
0.00000,Traditional RPL,26,18,0.99393,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,26,25,0.98930,0.19152,0.30000,0.65848,,0.80848,0.80848,0,,,traditional
0.00000,Traditional RPL,13,15,1.00000,0.36265,0.00000,0.63735,,0.63735,0.63735,25,,,traditional
0.00000,Traditional RPL,13,19,1.00000,0.35008,0.00000,0.64992,,0.64992,0.64992,25,,,traditional
0.00000,Traditional RPL,13,20,1.00000,0.36989,0.00000,0.63011,,0.63011,0.63011,25,,,traditional
0.00000,Traditional RPL,13,25,0.98930,0.19152,0.30000,0.65848,,0.80848,0.80848,25,,,traditional
0.00000,Traditional RPL,25,0,1.00000,0.00000,1.00000,0.50000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,25,8,0.98940,0.15648,0.10000,0.79352,,0.84352,0.84352,0,,,traditional
0.00000,Traditional RPL,25,18,0.99393,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,25,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,0,,,traditional
0.00000,Traditional RPL,14,2,0.99262,0.35668,0.00000,0.64332,,0.64332,0.64332,26,,,traditional
0.00000,Traditional RPL,14,5,0.99536,0.47664,0.00000,0.52336,,0.52336,0.52336,26,,,traditional
0.00000,Traditional RPL,14,7,0.99264,0.56113,0.00000,0.43887,,0.43887,0.43887,26,,,traditional
0.00000,Traditional RPL,14,12,0.99638,0.37976,0.00000,0.62024,,0.62024,0.62024,26,,,traditional
0.00000,Traditional RPL,14,22,1.00000,0.34409,0.00000,0.65591,,0.65591,0.65591,26,,,traditional
0.00000,Traditional RPL,14,23,1.00000,0.49797,0.00000,0.50203,,0.50203,0.50203,26,,,traditional
0.00000,Traditional RPL,14,24,1.00000,0.45661,0.00000,0.54339,,0.54339,0.54339,26,,,traditional
0.00000,Traditional RPL,14,26,0.97358,0.31818,0.30000,0.53182,,0.68182,0.68182,26,,,traditional
0.00000,Traditional RPL,14,30,1.00000,0.35753,0.00000,0.64247,,0.64247,0.64247,26,,,traditional
0.00000,Traditional RPL,26,0,1.00000,0.00000,1.00000,0.45000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,26,6,0.99391,0.28141,0.00000,0.71859,,0.71859,0.71859,0,,,traditional
