time,total_energy_consumed,average_remaining_energy,alive_nodes,active_sensors,dead_nodes,generated_packets,delivered_packets,lost_packets,packet_delivery_ratio,average_delay,communication_overhead,parent_changes,current_packet_id,current_source_sensor_id,current_temperature,selected_route_path,last_packet_status
0.0,0.6461655157812913,1.978461149473957,30,29,0,30,15,15,0.5,4.731513678478703,51,0,RPL-00030,30,26.882777788810984,30 -> 18 -> 0,lost
1.0,0.6461655157812913,1.978461149473957,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
2.0,0.6461655157812913,1.978461149473957,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
3.0,0.6461655157812913,1.978461149473957,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
4.0,0.6461655157812913,1.978461149473957,30,29,0,30,15,15,0.5,4.731513678478703,51,0,,,,,
5.0,1.2663871852033495,1.957787093826555,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,0,RPL-00060,30,23.37046005547336,30 -> 18 -> 0,lost
6.0,1.2663871852033495,1.957787093826555,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,0,,,,,
7.0,1.2663871852033495,1.957787093826555,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,0,,,,,
8.0,1.2663871852033495,1.957787093826555,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,0,,,,,
9.0,1.2663871852033495,1.957787093826555,30,29,0,60,20,40,0.3333333333333333,5.892464748734628,100,0,,,,,
10.0,1.853529682465087,1.9382156772511638,30,29,0,90,27,63,0.3,7.526775956198115,146,0,RPL-00090,30,21.201671978608804,30 -> 18 -> 0,lost
11.0,1.853529682465087,1.9382156772511638,30,29,0,90,27,63,0.3,7.526775956198115,146,0,,,,,
12.0,1.853529682465087,1.9382156772511638,30,29,0,90,27,63,0.3,7.526775956198115,146,0,,,,,
13.0,1.853529682465087,1.9382156772511638,30,29,0,90,27,63,0.3,7.526775956198115,146,0,,,,,
14.0,1.853529682465087,1.9382156772511638,30,29,0,90,27,63,0.3,7.526775956198115,146,0,,,,,
15.0,2.4637778430064614,1.9178740718997846,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,0,RPL-00120,30,24.623875248952004,30 -> 18 -> 0,delivered
16.0,2.4637778430064614,1.9178740718997846,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,0,,,,,
17.0,2.4637778430064614,1.9178740718997846,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,0,,,,,
18.0,2.4637778430064614,1.9178740718997846,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,0,,,,,
19.0,2.4637778430064614,1.9178740718997846,30,29,0,120,31,89,0.25833333333333336,8.678811893788167,193,0,,,,,
20.0,3.062056561351575,1.8979314479549474,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,0,RPL-00150,30,24.50483402316896,30 -> 18 -> 0,lost
21.0,3.062056561351575,1.8979314479549474,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,0,,,,,
22.0,3.062056561351575,1.8979314479549474,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,0,,,,,
23.0,3.062056561351575,1.8979314479549474,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,0,,,,,
24.0,3.062056561351575,1.8979314479549474,30,29,0,150,38,112,0.25333333333333335,10.127574389452022,239,0,,,,,
25.0,3.663800953496988,1.8778733015501003,30,29,0,180,45,135,0.25,11.687356187803228,286,0,RPL-00180,30,27.819497192419732,30 -> 18 -> 0,lost
26.0,3.663800953496988,1.8778733015501003,30,29,0,180,45,135,0.25,11.687356187803228,286,0,,,,,
27.0,3.663800953496988,1.8778733015501003,30,29,0,180,45,135,0.25,11.687356187803228,286,0,,,,,
28.0,3.663800953496988,1.8778733015501003,30,29,0,180,45,135,0.25,11.687356187803228,286,0,,,,,
29.0,3.663800953496988,1.8778733015501003,30,29,0,180,45,135,0.25,11.687356187803228,286,0,,,,,
30.0,4.226887126381911,1.8591037624539364,30,29,0,210,49,161,0.23333333333333334,12.676277146653995,328,0,RPL-00210,30,22.285735186771856,30 -> 18,lost
31.0,4.226887126381911,1.8591037624539364,30,29,0,210,49,161,0.23333333333333334,12.676277146653995,328,0,,,,,
32.0,4.226887126381911,1.8591037624539364,30,29,0,210,49,161,0.23333333333333334,12.676277146653995,328,0,,,,,
33.0,4.226887126381911,1.8591037624539364,30,29,0,210,49,161,0.23333333333333334,12.676277146653995,328,0,,,,,
34.0,4.226887126381911,1.8591037624539364,30,29,0,210,49,161,0.23333333333333334,12.676277146653995,328,0,,,,,
35.0,4.823271937610272,1.8392242687463243,30,29,0,240,52,188,0.21666666666666667,13.512879317679737,375,0,RPL-00240,30,30.359140091697846,30 -> 18 -> 0,lost
36.0,4.823271937610272,1.8392242687463243,30,29,0,240,52,188,0.21666666666666667,13.512879317679737,375,0,,,,,
37.0,4.823271937610272,1.8392242687463243,30,29,0,240,52,188,0.21666666666666667,13.512879317679737,375,0,,,,,
38.0,4.823271937610272,1.8392242687463243,30,29,0,240,52,188,0.21666666666666667,13.512879317679737,375,0,,,,,
39.0,4.823271937610272,1.8392242687463243,30,29,0,240,52,188,0.21666666666666667,13.512879317679737,375,0,,,,,
40.0,5.371996180397865,1.8209334606534044,30,29,0,270,56,214,0.2074074074074074,14.577711943797267,417,0,RPL-00270,30,29.144463683676953,30 -> 18 -> 0,delivered
41.0,5.371996180397865,1.8209334606534044,30,29,0,270,56,214,0.2074074074074074,14.577711943797267,417,0,,,,,
42.0,5.371996180397865,1.8209334606534044,30,29,0,270,56,214,0.2074074074074074,14.577711943797267,417,0,,,,,
43.0,5.371996180397865,1.8209334606534044,30,29,0,270,56,214,0.2074074074074074,14.577711943797267,417,0,,,,,
44.0,5.371996180397865,1.8209334606534044,30,29,0,270,56,214,0.2074074074074074,14.577711943797267,417,0,,,,,
45.0,5.933994158769046,1.8022001947076984,30,29,0,300,64,236,0.21333333333333335,16.93469029227796,460,0,RPL-00300,30,28.251449134576745,30 -> 18 -> 0,lost
46.0,5.933994158769046,1.8022001947076984,30,29,0,300,64,236,0.21333333333333335,16.93469029227796,460,0,,,,,
47.0,5.933994158769046,1.8022001947076984,30,29,0,300,64,236,0.21333333333333335,16.93469029227796,460,0,,,,,
48.0,5.933994158769046,1.8022001947076984,30,29,0,300,64,236,0.21333333333333335,16.93469029227796,460,0,,,,,
49.0,5.933994158769046,1.8022001947076984,30,29,0,300,64,236,0.21333333333333335,16.93469029227796,460,0,,,,,
50.0,6.523215209332207,1.7825594930222597,30,29,0,330,68,262,0.20606060606060606,18.001362476011625,505,0,RPL-00330,30,25.791181287364736,30 -> 18 -> 0,delivered
51.0,6.523215209332207,1.7825594930222597,30,29,0,330,68,262,0.20606060606060606,18.001362476011625,505,0,,,,,
52.0,6.523215209332207,1.7825594930222597,30,29,0,330,68,262,0.20606060606060606,18.001362476011625,505,0,,,,,
53.0,6.523215209332207,1.7825594930222597,30,29,0,330,68,262,0.20606060606060606,18.001362476011625,505,0,,,,,
54.0,6.523215209332207,1.7825594930222597,30,29,0,330,68,262,0.20606060606060606,18.001362476011625,505,0,,,,,
55.0,7.075359077349027,1.764154697421699,30,29,0,360,72,288,0.2,19.037328449566534,547,0,RPL-00360,30,23.75147336611552,30 -> 18 -> 0,lost
56.0,7.075359077349027,1.764154697421699,30,29,0,360,72,288,0.2,19.037328449566534,547,0,,,,,
57.0,7.075359077349027,1.764154697421699,30,29,0,360,72,288,0.2,19.037328449566534,547,0,,,,,
58.0,7.075359077349027,1.764154697421699,30,29,0,360,72,288,0.2,19.037328449566534,547,0,,,,,
59.0,7.075359077349027,1.764154697421699,30,29,0,360,72,288,0.2,19.037328449566534,547,0,,,,,
60.0,7.64578919132348,1.7451403602892173,30,29,0,390,76,314,0.19487179487179487,20.05619045183585,590,0,RPL-00390,30,23.507328533173748,30 -> 18,lost
61.0,7.64578919132348,1.7451403602892173,30,29,0,390,76,314,0.19487179487179487,20.05619045183585,590,0,,,,,
62.0,7.64578919132348,1.7451403602892173,30,29,0,390,76,314,0.19487179487179487,20.05619045183585,590,0,,,,,
63.0,7.64578919132348,1.7451403602892173,30,29,0,390,76,314,0.19487179487179487,20.05619045183585,590,0,,,,,
64.0,7.64578919132348,1.7451403602892173,30,29,0,390,76,314,0.19487179487179487,20.05619045183585,590,0,,,,,
65.0,8.160085018443155,1.727997166051895,30,29,0,420,79,341,0.1880952380952381,20.76161992834841,628,0,RPL-00420,30,22.617456813520903,30 -> 18 -> 0,lost
66.0,8.160085018443155,1.727997166051895,30,29,0,420,79,341,0.1880952380952381,20.76161992834841,628,0,,,,,
67.0,8.160085018443155,1.727997166051895,30,29,0,420,79,341,0.1880952380952381,20.76161992834841,628,0,,,,,
68.0,8.160085018443155,1.727997166051895,30,29,0,420,79,341,0.1880952380952381,20.76161992834841,628,0,,,,,
69.0,8.160085018443155,1.727997166051895,30,29,0,420,79,341,0.1880952380952381,20.76161992834841,628,0,,,,,
70.0,8.731770217050027,1.708940992764999,30,29,0,450,85,365,0.18888888888888888,22.303290737112846,671,0,RPL-00450,30,29.980107800043733,30 -> 18 -> 0,delivered
71.0,8.731770217050027,1.708940992764999,30,29,0,450,85,365,0.18888888888888888,22.303290737112846,671,0,,,,,
72.0,8.731770217050027,1.708940992764999,30,29,0,450,85,365,0.18888888888888888,22.303290737112846,671,0,,,,,
73.0,8.731770217050027,1.708940992764999,30,29,0,450,85,365,0.18888888888888888,22.303290737112846,671,0,,,,,
74.0,8.731770217050027,1.708940992764999,30,29,0,450,85,365,0.18888888888888888,22.303290737112846,671,0,,,,,
75.0,9.275871537130968,1.6908042820956344,30,29,0,480,88,392,0.18333333333333332,23.0368226551249,711,0,RPL-00480,30,24.921835339067616,30 -> 18,lost
76.0,9.275871537130968,1.6908042820956344,30,29,0,480,88,392,0.18333333333333332,23.0368226551249,711,0,,,,,
77.0,9.275871537130968,1.6908042820956344,30,29,0,480,88,392,0.18333333333333332,23.0368226551249,711,0,,,,,
78.0,9.275871537130968,1.6908042820956344,30,29,0,480,88,392,0.18333333333333332,23.0368226551249,711,0,,,,,
79.0,9.275871537130968,1.6908042820956344,30,29,0,480,88,392,0.18333333333333332,23.0368226551249,711,0,,,,,
80.0,9.797132742940228,1.6734289085686591,30,29,0,510,93,417,0.18235294117647058,24.267331254154385,750,0,RPL-00510,30,27.610053279346673,30 -> 18,lost
81.0,9.797132742940228,1.6734289085686591,30,29,0,510,93,417,0.18235294117647058,24.267331254154385,750,0,,,,,
82.0,9.797132742940228,1.6734289085686591,30,29,0,510,93,417,0.18235294117647058,24.267331254154385,750,0,,,,,
83.0,9.797132742940228,1.6734289085686591,30,29,0,510,93,417,0.18235294117647058,24.267331254154385,750,0,,,,,
84.0,9.797132742940228,1.6734289085686591,30,29,0,510,93,417,0.18235294117647058,24.267331254154385,750,0,,,,,
85.0,10.316256434249276,1.656124785525024,30,29,0,540,99,441,0.18333333333333332,25.74669918809823,788,0,RPL-00540,30,25.42742144520177,30 -> 18,lost
86.0,10.316256434249276,1.656124785525024,30,29,0,540,99,441,0.18333333333333332,25.74669918809823,788,0,,,,,
87.0,10.316256434249276,1.656124785525024,30,29,0,540,99,441,0.18333333333333332,25.74669918809823,788,0,,,,,
88.0,10.316256434249276,1.656124785525024,30,29,0,540,99,441,0.18333333333333332,25.74669918809823,788,0,,,,,
89.0,10.316256434249276,1.656124785525024,30,29,0,540,99,441,0.18333333333333332,25.74669918809823,788,0,,,,,
